,actual,prediction
659,-4.7210855,-4.525086
660,-4.647206,-4.315149
661,-4.694403,-4.5020614
662,-4.7834516,-4.60941
663,-4.7163954,-4.524144
664,-4.737904,-4.7735677
665,-4.724932,-4.730803
666,-4.71357,-4.7343135
667,-4.7674713,-4.6884923
668,-5.0096126,-4.7159142
669,-5.0754814,-4.603438
670,-5.155114,-4.7301183
671,-5.30522,-4.6958847
672,-5.304981,-4.77332
673,-5.348252,-4.7737536
674,-5.0698113,-4.4140697
675,-5.0146465,-4.591767
676,-4.68977,-4.2704625
677,-4.652666,-4.484486
678,-4.664047,-4.7730975
679,-4.677797,-4.7465243
680,-4.439006,-4.241199
681,-4.3939404,-4.5100355
682,-4.4155316,-4.525047
683,-4.428829,-4.6723056
684,-4.567377,-4.591827
685,-4.4582086,-4.2777267
686,-4.4552655,-4.7564616
687,-4.4434624,-4.678821
688,-4.661018,-4.6853538
689,-4.706474,-4.6608067
690,-4.7859836,-4.7677903
691,-4.7721987,-4.631415
692,-4.818993,-4.726175
693,-5.1372766,-4.561068
694,-5.1177535,-4.727611
695,-5.0660205,-4.5966945
696,-4.8340807,-4.32997
697,-4.7733755,-4.503139
698,-4.6661067,-4.436257
699,-4.678287,-4.67616
700,-4.6912103,-4.772469
701,-4.7541614,-4.7681675
702,-4.749192,-4.7120395
703,-4.7865715,-4.7101126
704,-4.7348657,-4.298032
705,-4.830178,-4.770506
706,-4.964408,-4.724091
707,-4.9670486,-4.6815515
708,-4.9615016,-4.761109
709,-4.7782664,-4.371588
710,-4.7982426,-4.770223
711,-4.7853365,-4.672789
712,-5.1295934,-4.7619796
713,-4.9729986,-4.5119596
714,-4.998265,-4.773682
715,-5.0001335,-4.6851206
716,-4.9538693,-4.668699
717,-5.1622334,-4.668699
718,-5.066748,-4.625184
719,-5.1162314,-4.7514043
720,-4.956747,-4.4938045
721,-5.1091394,-4.7730308
722,-5.074733,-4.7190795
723,-5.077994,-4.6904583
724,-4.178352,-3.9011
725,-4.0988107,-4.263359
726,-4.0360312,-4.2680693
727,-4.024422,-4.59742
728,-4.020911,-4.4545116
729,-4.0157347,-4.7027164
730,-3.981306,-4.3430314
731,-3.9440966,-4.3138194
732,-4.3074703,-4.6224313
733,-4.44381,-4.72744
734,-4.630428,-4.755034
735,-4.633285,-4.6087976
736,-4.72657,-4.7686753
737,-4.748192,-4.7724385
738,-4.8729296,-4.5807743
739,-5.247113,-4.773124
740,-5.3284764,-4.7097826
741,-5.3212557,-4.7202497
742,-5.3353906,-4.7690125
743,-5.535055,-4.769303
744,-5.514932,-4.7552457
745,-5.4193225,-4.7006993
746,-5.5785794,-4.6932054
747,-5.519653,-4.7356315
748,-5.577414,-4.746576
749,-5.6096797,-4.739026
750,-5.507545,-4.705178
751,-5.5098205,-4.7708716
752,-5.507177,-4.753423
753,-5.561022,-4.735999
754,-5.6188726,-4.7271266
755,-5.6884065,-4.7715344
756,-5.734436,-4.76774
757,-5.778414,-4.757505
758,-5.87113,-4.739197
759,-5.784281,-4.739197
760,-5.356221,-4.499117
761,-5.3983626,-4.7737966
762,-5.377645,-4.7089424
763,-5.379841,-4.773498
764,-5.3828254,-4.770395
765,-5.3880725,-4.762134
766,-5.4291196,-4.7737775
767,-5.4438486,-4.75093
768,-6.0895023,-4.7690105
769,-6.0728016,-4.7701316
770,-5.505404,-4.490022
771,-5.1665306,-4.4597793
772,-5.1670823,-4.7711473
773,-5.1553035,-4.745862
774,-5.1408153,-4.7532296
775,-5.1529546,-4.768187
776,-5.019031,-4.5563636
777,-4.8863554,-4.5047307
778,-5.0285134,-4.769675
779,-5.232114,-4.73836
780,-5.001297,-4.445158
781,-4.9762692,-4.6970477
782,-4.931668,-4.659945
783,-4.907145,-4.7132387
784,-5.0031157,-4.7538357
785,-5.14356,-4.723247
786,-5.137803,-4.7613893
787,-5.041952,-4.5854163
788,-5.2837496,-4.75569
789,-4.67972,-4.208262
790,-4.691891,-4.7034554
791,-4.6105466,-4.4300046
792,-4.610523,-4.7537403
793,-4.6147714,-4.7408257
794,-4.593024,-4.669803
795,-4.6364512,-4.764424
796,-4.6410565,-4.7737784
797,-4.9886127,-4.4352775
798,-4.961019,-4.648111
799,-5.0307703,-4.541541
800,-5.040753,-4.771463
801,-4.5746765,-4.2024803
802,-4.581306,-4.6992044
803,-4.499546,-4.4090133
804,-4.498221,-4.7668934
805,-4.5710707,-4.760285
806,-4.589808,-4.730807
807,-4.626472,-4.6886234
808,-3.9810715,-3.8327634
809,-4.0497212,-4.376886
810,-4.054118,-4.7550497
811,-4.08559,-4.758789
812,-4.072491,-4.6093106
813,-4.0476704,-4.4705834
814,-4.041557,-4.65202
815,-4.047624,-4.7668166
816,-4.9292665,-4.7737594
817,-4.990145,-4.4722037
818,-4.8171177,-4.394744
819,-4.4676995,-4.1998153
820,-4.4541383,-4.539711
821,-4.3900967,-4.3029714
822,-4.3001566,-4.2950706
823,-4.3006573,-4.7706876
824,-4.218907,-4.307404
825,-4.219117,-4.4737906
826,-4.16158,-4.260574
827,-4.318175,-4.739837
828,-4.154722,-4.1606836
829,-4.215837,-4.6567802
830,-4.139543,-4.1846814
831,-4.1274815,-4.6405563
832,-4.194232,-4.770184
833,-4.2175937,-4.672053
834,-4.3317657,-4.729393
835,-4.3259454,-4.697354
836,-4.619693,-4.7225595
837,-4.62343,-4.671971
838,-5.2047954,-4.653273
839,-5.1970444,-4.630667
840,-5.138004,-4.6896033
841,-4.918912,-4.3575115
842,-4.850258,-4.5655174
843,-4.8080792,-4.58413
844,-4.743426,-4.5364385
845,-4.7603602,-4.725014
846,-4.8002954,-4.7714715
847,-4.722657,-4.422318
848,-4.7410884,-4.7496934
849,-4.922664,-4.761522
850,-4.3150845,-4.0186143
851,-4.21364,-4.2523284
852,-4.2390833,-4.757356
853,-4.244432,-4.771486
854,-4.220429,-4.561053
855,-4.2352476,-4.532199
856,-4.236063,-4.7568655
857,-4.232443,-4.7295914
858,-4.743137,-4.7578454
859,-5.2646174,-4.7723446
860,-5.274714,-4.768584
861,-5.1745825,-4.649445
862,-5.231962,-4.631886
863,-5.467286,-4.749331
864,-5.0954633,-4.388107
865,-4.7962704,-4.3067904
866,-4.773573,-4.6912937
867,-4.28416,-4.047498
868,-4.1496983,-4.223633
869,-4.1414533,-4.564073
870,-4.1404257,-4.6209626
871,-4.1010714,-4.3720946
872,-4.1375136,-4.748182
873,-4.187786,-4.5961537
874,-4.023292,-4.120343
875,-4.0264673,-4.052171
876,-4.124524,-4.7270923
877,-4.140663,-4.7370543
878,-4.1519885,-4.7400594
879,-4.0211663,-4.1136885
880,-4.014841,-4.662207
881,-4.0256333,-4.7421913
882,-4.174613,-4.5375447
883,-4.5129337,-4.7664886
884,-4.440808,-4.3821435
885,-4.4445047,-4.758546
886,-4.4423285,-4.727426
887,-5.014571,-4.7415576
888,-4.710247,-4.2729506
889,-4.702631,-4.716068
890,-4.7160387,-4.5764165
891,-4.366998,-4.1572576
892,-4.4339113,-4.758758
893,-3.7165089,-3.7178433
894,-3.6498628,-4.1415944
895,-3.6419158,-4.5238404
896,-3.578534,-4.019576
897,-3.578062,-4.7006125
898,-3.583823,-4.7640934
899,-3.6394942,-4.773792
900,-3.630645,-4.5120845
901,-4.1374836,-4.692048
902,-4.339064,-4.7321076
903,-4.376705,-4.7735195
904,-5.3161073,-4.74746
905,-5.328976,-4.713487
906,-5.3302927,-4.765391
907,-5.281406,-4.7232046
908,-5.613858,-4.7638254
909,-5.6986837,-4.7356343
910,-5.5861583,-4.6726093
911,-5.472507,-4.6981707
912,-5.4647617,-4.741674
913,-5.551093,-4.773172
914,-5.4455895,-4.6909947
915,-5.514854,-4.7737966
916,-5.159265,-4.43803
917,-5.120055,-4.679071
918,-4.99811,-4.483346
919,-4.9532194,-4.608269
920,-4.961375,-4.7586136
921,-4.945928,-4.7408524
922,-4.9859333,-4.7726836
923,-4.9769244,-4.7559657
924,-5.200761,-4.7712874
925,-5.196011,-4.67298
